id,res_id,utc_timestamp,DE_KN_residential4_dishwasher,DE_KN_residential4_ev,DE_KN_residential4_freezer,DE_KN_residential4_grid_export,DE_KN_residential4_grid_import,DE_KN_residential4_heat_pump,DE_KN_residential4_pv,DE_KN_residential4_refrigerator,DE_KN_residential4_washing_machine
0,4,2015-10-10T16:00:00Z,,,,0.0,0.052,0.01,0.0,,
1,4,2015-10-10T17:00:00Z,,,,0.0,0.875,0.02,0.0,,
2,4,2015-10-10T18:00:00Z,,,,0.0,1.63,0.04,0.0,,
3,4,2015-10-10T19:00:00Z,,,,0.0,1.985,0.05,0.0,,
4,4,2015-10-10T20:00:00Z,,,,0.0,2.312,0.06,0.0,,
5,4,2015-10-10T21:00:00Z,,,,0.0,2.512,0.08,0.0,,
6,4,2015-10-10T22:00:00Z,,,,0.0,2.702,0.09,0.0,,
7,4,2015-10-10T23:00:00Z,,,,0.0,2.852,0.1,0.0,,
8,4,2015-10-11T00:00:00Z,,,,0.0,3.031,0.12,0.0,,
9,4,2015-10-11T01:00:00Z,,,,0.0,3.187,0.13,0.0,,
10,4,2015-10-11T02:00:00Z,,,,0.0,3.344,0.14,0.0,,
11,4,2015-10-11T03:00:00Z,,,,0.0,3.512,0.16,0.0,,
12,4,2015-10-11T04:00:00Z,,,,0.0,3.658,0.17,0.0,,
13,4,2015-10-11T05:00:00Z,,,,0.0,3.842,0.18,0.0,,
14,4,2015-10-11T06:00:00Z,,,,0.084,3.955,0.2,0.205,,
15,4,2015-10-11T07:00:00Z,,,,0.69,3.97,0.21,1.03,,
16,4,2015-10-11T08:00:00Z,,,,1.825,3.97,0.22,2.377,,
17,4,2015-10-11T09:00:00Z,,,,3.036,3.97,0.22,3.771,,
18,4,2015-10-11T10:00:00Z,,,,4.128,4.568,0.24,6.72,,
19,4,2015-10-11T11:00:00Z,,,,4.205,5.142,0.25,8.55,,
20,4,2015-10-11T12:00:00Z,,,,4.21,5.615,0.27,9.895,,
21,4,2015-10-11T13:00:00Z,,,,4.64,5.72,0.28,10.93,,
22,4,2015-10-11T14:00:00Z,,,,5.366,5.72,0.297,11.857,,
23,4,2015-10-11T15:00:00Z,,,,5.61,5.73,0.31,12.238,,
24,4,2015-10-11T16:00:00Z,,,,5.61,5.887,0.32,12.27,,
25,4,2015-10-11T17:00:00Z,,,,5.61,6.109,0.337,12.27,,
26,4,2015-10-11T18:00:00Z,,,,5.61,6.477,0.35,12.27,,
27,4,2015-10-11T19:00:00Z,,,,5.61,6.795,0.36,12.27,,
28,4,2015-10-11T20:00:00Z,,,,5.61,7.096,0.37,12.27,,
29,4,2015-10-11T21:00:00Z,,,,5.61,7.347,0.39,12.27,,
30,4,2015-10-11T22:00:00Z,,,,5.61,7.537,0.4,12.27,,
31,4,2015-10-11T23:00:00Z,,,,5.61,7.746,0.41,12.27,,
32,4,2015-10-12T00:00:00Z,,,,5.61,7.927,0.43,12.27,,
33,4,2015-10-12T01:00:00Z,,,,5.61,8.111,0.44,12.27,,
34,4,2015-10-12T02:00:00Z,,,,5.61,8.287,0.45,12.27,,
35,4,2015-10-12T03:00:00Z,,,,5.61,8.467,0.47,12.27,,
36,4,2015-10-12T04:00:00Z,,,,5.61,8.795,0.48,12.27,,
37,4,2015-10-12T05:00:00Z,,,,5.61,9.077,0.49,12.27,,
38,4,2015-10-12T06:00:00Z,,,,5.62,9.532,0.51,12.502,,
39,4,2015-10-12T07:00:00Z,,,,6.164,9.91,0.52,13.402,,
40,4,2015-10-12T08:00:00Z,,,,7.448,9.98,0.53,15.71,,
41,4,2015-10-12T09:00:00Z,,,,10.983,9.98,0.58,19.52,,
42,4,2015-10-12T10:00:00Z,,,,16.797,9.98,0.667,25.68,,
43,4,2015-10-12T11:00:00Z,,,,23.426,9.98,0.747,32.52,,
44,4,2015-10-12T12:00:00Z,,,,27.57,9.98,0.83,36.938,,
45,4,2015-10-12T13:00:00Z,,,,31.438,9.98,0.88,41.062,,
46,4,2015-10-12T14:00:00Z,,,,34.96,9.98,0.89,44.756,,
47,4,2015-10-12T15:00:00Z,,,,35.956,9.989,0.91,46.002,,
